"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
101076790,2022,1486378,"Starting Grants","SH1 - Individuals, Markets & Organisations ","DE","TUBINGEN"
678390,2015,1361507,"Starting Grants","SH3 - The Social World and its Diversity","NL","MAASTRICHT"
101040625,2021,1499176,"Starting Grants","PE10 - Earth System Science","FR","PARIS"
714312,2016,1500000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","LEIDEN"
101137651,2023,150000,"Proof Of Concept","Proof of Concept","BE",NA
945945,2020,1491250,"Starting Grants","PE5 - Synthetic Chemistry & Materials","BE","GHENT"
101113349,2022,150000,"Proof Of Concept","Proof of Concept","DE",NA
757913,2017,1499367,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","BRAUNSCHWEIG"
680037,2015,1499119,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","AT","KLOSTERNEUBURG"
957356,2020,150000,"Proof Of Concept","Proof of Concept","UK","CAMBRIDGE"
101044579,2021,1993094,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","AT","KLOSTERNEUBURG"
770884,2017,1999391,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","FI","JYVASKYLA"
101041255,2021,1498125,"Starting Grants","PE8 - Products & Processes Engineering","IT","Perugia"
787258,2017,2499672,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","UK","LEEDS"
639217,2014,1499999,"Starting Grants","PE9 - Universe Sciences","NL","AMSTERDAM"
101041421,2021,2255511,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","SI","LJUBLJANA"
210680,2007,750000,"Starting Grants","PE1 - Mathematics","DE","HEIDELBERG"
101123099,2023,150000,"Proof Of Concept","Proof of Concept","AT",NA
715403,2016,1499109,"Starting Grants","PE8 - Products & Processes Engineering","AT","Graz"
853539,2019,1498000,"Starting Grants","SH6 - The Study of the Human Past","IT","GENOVA"
263484,2010,1228581,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","OXFORD"
866207,2019,1998100,"Consolidator Grants","SH3 - The Social World and its Diversity","PL","WARSAW"
966841,2020,150000,"Proof Of Concept","Proof of Concept","IT","MILAN"
875129,2019,150000,"Proof Of Concept","Proof of Concept","IT","MILAN"
695078,2015,2409209,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","IT","MILAN"
101001957,2020,1999634,"Consolidator Grants","PE10 - Earth System Science","NO","Bergen"
638467,2014,1877209,"Starting Grants","PE10 - Earth System Science","NO","Bergen"
101115122,2023,1500000,"Starting Grants","PE9 - Universe Sciences","DE",NA
759590,2017,1500000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","AT","VIENNA"
101002720,2020,1899587,"Consolidator Grants","SH5 - Cultures & Cultural Production","CY","Nicosia"
263312,2010,925910,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","London"
646883,2014,1860009,"Consolidator Grants","SH3 - The Social World and its Diversity","IE","DUBLIN"
716065,2016,1499544,"Starting Grants","SH4 - The Human Mind and its Complexity","SE","UMEA"
101069327,2022,150000,"Proof Of Concept","Proof of Concept","SE","UPPSALA"
815357,2018,2000000,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","SE","STOCKHOLM"
678792,2015,1500000,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","SE","UPPSALA"
101043589,2021,2000000,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","SE","LUND"
101123405,2023,150000,"Proof Of Concept","Proof of Concept","BE",NA
772649,2017,1999796,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","BE","ZWIJNAARDE"
310368,2012,1498764,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","BE","ZWIJNAARDE"
637614,2014,1498746,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","GRONINGEN"
101044468,2021,1999000,"Consolidator Grants","PE11 - Materials Engineering","SI","IZOLA"
307215,2012,1928369,"Starting Grants","PE9 - Universe Sciences","UK","MANCHESTER"
101116305,2023,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE",NA
101054177,2021,2483724,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","ES","MADRID"
865768,2019,2425000,"Consolidator Grants","PE9 - Universe Sciences","NL","AMSTERDAM"
101018839,2020,2028016,"Advanced Grants","PE1 - Mathematics","DE","HEIDELBERG"
614733,2013,1570327,"Consolidator Grants","PE1 - Mathematics","DE","HEIDELBERG"
756431,2017,1490915,"Starting Grants","SH6 - The Study of the Human Past","FI","OULU"
648909,2014,1989203,"Consolidator Grants","PE6 - Computer Science & Informatics","UK","CAMBRIDGE"
101097545,2022,2500000,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","FI",NA
724508,2016,1999995,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","CH","ZURICH"
281517,2011,1498811,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","FI","HELSINKI"
679330,2015,1498478,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","CH","LAUSANNE"
101087575,2022,1977285,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DE","Bonn"
714245,2016,1496250,"Starting Grants","PE9 - Universe Sciences","IT","BOLOGNA"
694515,2015,2199219,"Advanced Grants","PE1 - Mathematics","CH","LAUSANNE"
205004,2007,750000,"Starting Grants","PE1 - Mathematics","IT","Roma"
715950,2016,1258250,"Starting Grants","SH3 - The Social World and its Diversity","IT","MILAN"
714463,2016,1498614,"Starting Grants","SH3 - The Social World and its Diversity","IT","BOLOGNA"
101087822,2022,1997500,"Consolidator Grants","PE9 - Universe Sciences","DE","MUNCHEN"
678711,2015,1452686,"Starting Grants","SH5 - Cultures & Cultural Production","IT","Venezia"
966759,2020,150000,"Proof Of Concept","Proof of Concept","IT","GENOVA"
771528,2017,2150000,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","IT","GENOVA"
865797,2019,2000000,"Consolidator Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","FR","PARIS"
852992,2019,1499750,"Starting Grants","PE10 - Earth System Science","DE","MUNCHEN"
309516,2012,1431408,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","Swindon"
101077939,2022,1499264,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","SE",NA
263747,2010,893161,"Starting Grants","SH6 - The Study of the Human Past","UK","Norwich"
101098375,2022,3418549,"Advanced Grants","PE10 - Earth System Science","FR",NA
832294,2018,2499995,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","FR","PARIS"
294341,2011,2499996,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","FR","Paris"
834161,2018,2499969,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","FR","PARIS"
727440,2016,149428,"Proof Of Concept","Proof of Concept","UK","ST ANDREWS"
250189,2009,1812782,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","ST ANDREWS"
263577,2010,945571,"Starting Grants","SH6 - The Study of the Human Past","FR","PARIS"
949525,2020,1454735,"Starting Grants","SH5 - Cultures & Cultural Production","CH","ZURICH"
789992,2017,150000,"Proof Of Concept","Proof of Concept","SE","LUND"
101138580,2023,150000,"Proof Of Concept","Proof of Concept","SE",NA
884900,2019,2500000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","SE","LUND"
227906,2008,2250000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","SE","LUND"
339253,2013,2047000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","SE","LUND"
617472,2013,1999241,"Consolidator Grants","PE10 - Earth System Science","FR","Paris"
337365,2013,1500000,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","FR","PARIS"
281957,2011,681582,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","LONDON"
742930,2016,955710,"Advanced Grants","PE8 - Products & Processes Engineering","UK","LEEDS"
101001478,2020,1892541,"Consolidator Grants","SH5 - Cultures & Cultural Production","IE","Galway"
294682,2011,1522491,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","UK","LONDON"
864648,2019,1986922,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","DK","COPENHAGEN"
309337,2012,1032815,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","LONDON"
804259,2018,1500000,"Starting Grants","SH5 - Cultures & Cultural Production","BE","LOUVAIN-LA-NEUVE"
804412,2018,1500000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","NL","Utrecht"
311358,2012,1500000,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","FR","PARIS"
865963,2019,1998920,"Consolidator Grants","PE10 - Earth System Science","FR","Grenoble"
101088477,2022,1999350,"Consolidator Grants","SH6 - The Study of the Human Past","FR",NA
948601,2020,1489442,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NL","Amsterdam"
757258,2017,1500000,"Starting Grants","PE9 - Universe Sciences","CH","Geneva"
313871,2012,820832,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NL","Rotterdam"
306528,2012,1482240,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","CH","LAUSANNE"
817977,2018,1949385,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","CH","LAUSANNE"
851173,2019,1498214,"Starting Grants","PE3 - Condensed Matter Physics","CH","LAUSANNE"
101116304,2023,1948125,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FR",NA
637653,2014,1267500,"Starting Grants","PE1 - Mathematics","FR","Sorbonne"
260347,2010,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","CH","Geneva"
853033,2019,1106528,"Starting Grants","SH3 - The Social World and its Diversity","IT","MILAN"
204742,2007,1250000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FR","LE CHESNAY CEDEX"
885593,2019,2495266,"Advanced Grants","PE9 - Universe Sciences","FR","PARIS"
851393,2019,1175239,"Starting Grants","SH5 - Cultures & Cultural Production","DE","Berlin"
249397,2009,1848701,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","NL","AMSTERDAM"
101054338,2021,2496838,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","BE","LIEGE"
101076961,2022,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","NL","NIJMEGEN"
101075828,2022,1493339,"Starting Grants","SH5 - Cultures & Cultural Production","BE",NA
772191,2017,1999470,"Consolidator Grants","PE8 - Products & Processes Engineering","FR","PARIS"
335478,2013,1499612,"Starting Grants","PE10 - Earth System Science","FI","Kuopio"
284316,2011,1230958,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","CANTERBURY"
714615,2016,1499985,"Starting Grants","SH5 - Cultures & Cultural Production","UK","Edinburgh"
802080,2018,1496770,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NL","Amsterdam"
851437,2019,1500000,"Starting Grants","SH3 - The Social World and its Diversity","NL","LEIDEN"
101081162,2022,150000,"Proof Of Concept","Proof of Concept","BE","ANTWERP"
101112687,2022,150000,"Proof Of Concept","Proof of Concept","NL",NA
724281,2016,2000000,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","NL","NIJMEGEN"
681269,2015,1996971,"Consolidator Grants","SH5 - Cultures & Cultural Production","DE","Kiel"
803758,2018,1499844,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","DARMSTADT"
101043983,2021,2000000,"Consolidator Grants","SH7 - Human Mobility, Environment & Space","DK","Odense"
282250,2011,1487000,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","DE","MUNCHEN"
101041101,2021,1499738,"Starting Grants","SH3 - The Social World and its Diversity","FI","HELSINKI"
101087096,2022,1999433,"Consolidator Grants","PE3 - Condensed Matter Physics","SE","UPPSALA"
757553,2017,1121660,"Starting Grants","PE3 - Condensed Matter Physics","SE","UPPSALA"
101088363,2022,1598515,"Consolidator Grants","SH5 - Cultures & Cultural Production","IT",NA
101076096,2022,2368459,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FI","HELSINKI"
724715,2016,2272485,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","HEIDELBERG"
715173,2016,1496030,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","DE","Leipzig"
101088589,2022,1997651,"Consolidator Grants","PE1 - Mathematics","SE",NA
640074,2014,1498425,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NL","LEIDEN"
101039843,2021,1499899,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","AT","VIENNA"
101018153,2020,1945713,"Advanced Grants","PE1 - Mathematics","AT","VIENNA"
724750,2016,1999941,"Consolidator Grants","PE10 - Earth System Science","CH","Basel"
279518,2011,1496342,"Starting Grants","PE10 - Earth System Science","CH","Basel"
279347,2011,1437200,"Starting Grants","PE9 - Universe Sciences","DE","GOTTINGEN"
232989,2008,2200000,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","SE","STOCKHOLM"
337075,2013,1419000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","HU","Szeged"
759257,2017,1366875,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","MUNCHEN"
101042538,2021,1499950,"Starting Grants","PE11 - Materials Engineering","NL","EINDHOVEN"
101020966,2020,2477902,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","ES","BARCELONA"
101002086,2020,1999985,"Consolidator Grants","SH5 - Cultures & Cultural Production","UK","Leicester"
267281,2010,1960938,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","UK","LONDON"
757991,2017,1492424,"Starting Grants","PE5 - Synthetic Chemistry & Materials","UK","MANCHESTER"
227781,2008,2018579,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","UK","CAMBRIDGE"
101089343,2022,1998956,"Consolidator Grants","PE6 - Computer Science & Informatics","DE",NA
759969,2017,1496687,"Starting Grants","PE6 - Computer Science & Informatics","DE","KAISERSLAUTERN"
323262,2012,1496263,"Advanced Grants","SH4 - The Human Mind and its Complexity","UK","York"
850540,2019,1499313,"Starting Grants","PE7 - Systems & Communication Engineering","BE","LOUVAIN-LA-NEUVE"
313553,2012,1470698,"Starting Grants","SH3 - The Social World and its Diversity","CH","ZURICH"
247039,2009,900024,"Advanced Grants","PE9 - Universe Sciences","UK","OXFORD"
716998,2016,1500000,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","EL","Vari"
805143,2018,1500000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","BERLIN"
294757,2011,3375693,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","Bremerhaven"
101018511,2020,2426455,"Advanced Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
239920,2009,1449600,"Starting Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
757956,2017,1499750,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","PARIS"
801660,2018,1499818,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FR","Villeurbanne"
864066,2019,1540000,"Consolidator Grants","PE1 - Mathematics","FR","Sorbonne"
101116355,2023,1500000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FR",NA
679116,2015,1499190,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","FR","PARIS"
306587,2012,1128960,"Starting Grants","PE8 - Products & Processes Engineering","UK","OXFORD"
669891,2014,2403125,"Advanced Grants","PE6 - Computer Science & Informatics","DE","SAARBRUCKEN"
335410,2013,1043172,"Starting Grants","PE1 - Mathematics","FR","Sorbonne"
339728,2013,2498971,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","FR","PARIS"
639020,2014,1472425,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","FR","PARIS"
757501,2017,1499640,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FR","PARIS"
617739,2013,1868520,"Consolidator Grants","SH4 - The Human Mind and its Complexity","FR","PARIS"
681393,2015,1773750,"Consolidator Grants","PE6 - Computer Science & Informatics","FR","Sorbonne"
101040475,2021,1472313,"Starting Grants","SH6 - The Study of the Human Past","FR","PARIS"
695288,2015,2859560,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","CH","BASEL"
725850,2016,1915000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","CH","Bern"
322821,2012,2429640,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
101042329,2021,1499038,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
759817,2017,1439893,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","FR","PARIS"
101039995,2021,1497500,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","FR","PARIS"
848532,2019,1499684,"Starting Grants","SH4 - The Human Mind and its Complexity","NL","Amsterdam"
340243,2013,2148211,"Advanced Grants","PE1 - Mathematics","CH","Geneva"
949172,2020,1498888,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","BERLIN"
101117824,2023,1499000,"Starting Grants","SH4 - The Human Mind and its Complexity","IS",NA
759427,2017,1497750,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","Mainz"
101045516,2021,1999318,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","FI","ESPOO"
101001159,2020,1996023,"Consolidator Grants","PE1 - Mathematics","AT","VIENNA"
638760,2014,1355103,"Starting Grants","PE3 - Condensed Matter Physics","NL","DELFT"
227844,2008,1750000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","AT","VIENNA"
641388,2014,150000,"Proof Of Concept","Proof of Concept","IT","Parma"
239640,2009,1600000,"Starting Grants","PE7 - Systems & Communication Engineering","IT","Parma"
957581,2020,150000,"Proof Of Concept","Proof of Concept","ES","L'HOSPITALET DE LLOBREGAT"
311736,2012,1324802,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","ES","BARCELONA"
786572,2017,1479625,"Advanced Grants","SH5 - Cultures & Cultural Production","IT","ROMA"
899770,2019,150000,"Proof Of Concept","Proof of Concept","IT","PADOVA"
322823,2012,2350342,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","IT","PADOVA"
101042844,2021,1999958,"Starting Grants","PE8 - Products & Processes Engineering","NL","EINDHOVEN"
101112853,2022,150000,"Proof Of Concept","Proof of Concept","ES","BARCELONA"
834934,2018,1475489,"Advanced Grants","PE10 - Earth System Science","ES","CERDANYOLA DEL VALLES"
101123484,2023,150000,"Proof Of Concept","Proof of Concept","ES",NA
680172,2015,1002307,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","ES","CERDANYOLA DEL VALLES"
737607,2016,150000,"Proof Of Concept","Proof of Concept","NL","NIJMEGEN"
310644,2012,1498150,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","NL","NIJMEGEN"
313398,2012,1383371,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","LONDON"
261178,2010,1123000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT","Vercelli"
789790,2017,149963,"Proof Of Concept","Proof of Concept","NL","UTRECHT"
899779,2019,150000,"Proof Of Concept","Proof of Concept","UK","LONDON"
340045,2013,2250949,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","NL","UTRECHT"
801434,2018,1471750,"Starting Grants","PE7 - Systems & Communication Engineering","DE","MUNCHEN"
882276,2019,1872200,"Advanced Grants","SH3 - The Social World and its Diversity","IT","FIESOLE"
875532,2019,150000,"Proof Of Concept","Proof of Concept","FR","Paris"
616180,2013,1998884,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","Paris"
243136,2009,1735524,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","PARIS"
757646,2017,1499981,"Starting Grants","PE2 - Fundamental Constituents of Matter","UK","EDINBURGH"
682474,2015,1818553,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","UK","LONDON"
716082,2016,717246,"Starting Grants","PE9 - Universe Sciences","IT","PADOVA"
313692,2012,1475950,"Starting Grants","SH4 - The Human Mind and its Complexity","IT","PADOVA"
966334,2020,150000,"Proof Of Concept","Proof of Concept","IT","NAPOLI"
804519,2018,1500000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","IT","NAPOLI"
834266,2018,1735044,"Advanced Grants","PE2 - Fundamental Constituents of Matter","ES","Castelldefels"
617337,2013,1487505,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","ES","Castelldefels"
209267,2007,699600,"Starting Grants","PE2 - Fundamental Constituents of Matter","ES","Castelldefels"
637116,2014,1500000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","ES","MADRID"
713735,2015,147500,"Proof Of Concept","Proof of Concept","PT","Lisbon"
208631,2007,1150000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","PT","Lisbon"
101123231,2023,150000,"Proof Of Concept","Proof of Concept","IT",NA
817794,2018,2745000,"Consolidator Grants","PE8 - Products & Processes Engineering","IT","GENOVA"
249740,2009,2105950,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","FR","Paris"
101069179,2022,150000,"Proof Of Concept","Proof of Concept","IT","GENOVA"
840446,2018,150000,"Proof Of Concept","Proof of Concept","IT","GENOVA"
727536,2016,149787,"Proof Of Concept","Proof of Concept","IT","GENOVA"
291166,2011,2279600,"Advanced Grants","PE7 - Systems & Communication Engineering","IT","GENOVA"
101116328,2023,1437498,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","BE",NA
101123370,2023,150000,"Proof Of Concept","Proof of Concept","IT",NA
101002561,2020,1990530,"Consolidator Grants","PE8 - Products & Processes Engineering","IT","Palermo"
101001106,2020,1999340,"Consolidator Grants","SH3 - The Social World and its Diversity","NO","Bergen"
101076411,2022,1492700,"Starting Grants","PE1 - Mathematics","IT","MILAN"
340685,2013,1302270,"Advanced Grants","PE8 - Products & Processes Engineering","IT","Trieste"
101069436,2022,150000,"Proof Of Concept","Proof of Concept","IT","Trieste"
210772,2007,765000,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
963955,2020,150000,"Proof Of Concept","Proof of Concept","ES","BARCELONA"
724244,2016,1999813,"Consolidator Grants","PE7 - Systems & Communication Engineering","ES","BARCELONA"
101043467,2021,2680195,"Consolidator Grants","PE6 - Computer Science & Informatics","ES","Barcelona"
885539,2019,2478125,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","IT","Milan"
670955,2014,1867500,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","CH","BELLINZONA"
250348,2009,1979200,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","CH","BELLINZONA"
837225,2018,150000,"Proof Of Concept","Proof of Concept","ES","Tarragona"
835080,2018,2500000,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","ES","Tarragona"
321066,2012,2499060,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","ES","Tarragona"
833057,2018,2498661,"Advanced Grants","PE6 - Computer Science & Informatics","ES","BARCELONA"
637533,2014,1480625,"Starting Grants","SH5 - Cultures & Cultural Production","IT","VENEZIA"
101039198,2021,1499750,"Starting Grants","PE8 - Products & Processes Engineering","IT","BARI"
101089139,2022,1694043,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","ES",NA
759424,2017,1480325,"Starting Grants","SH1 - Individuals, Markets & Organisations ","ES","BARCELONA"
669879,2014,2500000,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","UK","London"
101077310,2022,1196778,"Starting Grants","SH3 - The Social World and its Diversity","BE",NA
260797,2010,1498279,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","CY","Nicosia"
339743,2013,2952628,"Advanced Grants","PE9 - Universe Sciences","NL","UTRECHT"
310612,2012,1430131,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","SE","Linkoping"
294790,2011,2498951,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","NL","Wageningen"
885478,2019,2499779,"Advanced Grants","SH6 - The Study of the Human Past","DE","Berlin"
790395,2017,150000,"Proof Of Concept","Proof of Concept","NL","EINDHOVEN"
291632,2011,2430353,"Advanced Grants","PE7 - Systems & Communication Engineering","NL","EINDHOVEN"
281098,2011,2000000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL","GRONINGEN"
268733,2010,2499640,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","NL","Amsterdam"
742259,2016,2405625,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","NL","Amsterdam"
787790,2017,2662929,"Advanced Grants","SH6 - The Study of the Human Past","NO","Tromso"
268788,2010,2366576,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","BRIGHTON"
616170,2013,1372496,"Consolidator Grants","PE9 - Universe Sciences","UK","BRIGHTON"
227772,2008,1293687,"Advanced Grants","PE1 - Mathematics","FI","HELSINKI"
715539,2016,1257442,"Starting Grants","PE1 - Mathematics","CH","Geneva"
741487,2016,2463412,"Advanced Grants","PE1 - Mathematics","FI","HELSINKI"
637991,2014,1499790,"Starting Grants","PE6 - Computer Science & Informatics","FI","ESPOO"
268955,2010,2500000,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","FI","HELSINKI"
771036,2017,1999575,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FI","JYVASKYLA"
890644,2019,150000,"Proof Of Concept","Proof of Concept","UK","LEEDS"
757993,2017,1500000,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","UK","LEEDS"
101088453,2022,1998870,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","IE",NA
677152,2015,1472199,"Starting Grants","SH6 - The Study of the Human Past","DK","COPENHAGEN"
840116,2018,149923,"Proof Of Concept","Proof of Concept","IE","DUBLIN"
771419,2017,1824794,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","IE","DUBLIN"
309834,2012,1358534,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","IE","DUBLIN"
617451,2013,1999935,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","NL","AMSTERDAM"
714437,2016,1372350,"Starting Grants","SH6 - The Study of the Human Past","EL","HERAKLION"
771497,2017,2000000,"Consolidator Grants","PE10 - Earth System Science","NL","UTRECHT"
259627,2010,1498800,"Starting Grants","PE10 - Earth System Science","NL","UTRECHT"
101136845,2023,150000,"Proof Of Concept","Proof of Concept","IT",NA
850932,2019,1488750,"Starting Grants","PE7 - Systems & Communication Engineering","IT","GENOVA"
853005,2019,1499495,"Starting Grants","PE8 - Products & Processes Engineering","CH","LAUSANNE"
851149,2019,1498079,"Starting Grants","SH3 - The Social World and its Diversity","NO","OSLO"
819864,2018,1999840,"Consolidator Grants","PE1 - Mathematics","UK","EDINBURGH"
337039,2013,1282912,"Starting Grants","PE1 - Mathematics","UK","EDINBURGH"
307387,2012,1401023,"Starting Grants","PE3 - Condensed Matter Physics","FR","LYON"
716846,2016,1444079,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","GOTTINGEN"
851607,2019,1470090,"Starting Grants","SH6 - The Study of the Human Past","UK","OXFORD"
232974,2008,2498400,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","CH","ZURICH"
819422,2018,1999752,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","FI","HELSINKI"
101078157,2022,1500000,"Starting Grants","PE1 - Mathematics","IL","JERUSALEM"
853459,2019,1499375,"Starting Grants","PE6 - Computer Science & Informatics","ES","BARCELONA"
